film,revenue,budget,est_profit
Inception,825532764,160000000,665532764
The Matrix,463517383,63000000,400517383
Avengers: Infinity War,2046239637,300000000,1746239637
Back to the Future,381109762,19000000,362109762
"The Good, the Bad and the Ugly",25118063,1200000,23918063
Spider-Man: Into the Spider-Verse,375540831,90000000,285540831
The Pianist,120072577,35000000,85072577
Django Unchained,425368238,100000000,325368238
Raiders of the Lost Ark,389925971,18000000,371925971
Inglourious Basterds,321455689,70000000,251455689
Taxi Driver,28262574,1300000,26962574
3 Idiots,70000000,9000000,61000000
Pan's Labyrinth,83258226,19000000,64258226
Room,35401758,13000000,22401758
Monty Python and the Holy Grail,5028948,400000,4628948
Once Upon a Time in the West,5321508,5000000,321508
Indiana Jones and the Last Crusade,474171806,48000000,426171806
Groundhog Day,70906973,14600000,56306973
The King's Speech,414211549,15000000,399211549
Her,47351251,23000000,24351251
There Will Be Blood,77208711,25000000,52208711
The Social Network,224920315,40000000,184920315
Dallas Buyers Club,55736588,5000000,50736588
The Perks of Being a Wallflower,33400000,13000000,20400000
Life of Brian,20045115,4000000,16045115
Ex Machina,36869414,15000000,21869414
Silver Linings Playbook,236412453,21000000,215412453
District 9,210819611,30000000,180819611
The Irishman,8000000,159000000,-151000000
Moon,9760104,5000000,4760104
Marriage Story,2300000,19000000,-16700000
Drive,78054825,15000000,63054825
Train to Busan,87547518,8820000,78727518
Incredibles 2,1242805359,200000000,1042805359
Dangal,310000000,10400000,299600000
Klaus,0,0,0
Minority Report,358372926,102000000,256372926
Mystic River,156822020,25000000,131822020
Like Stars on Earth,28430000,2600000,25830000
Ferris Bueller's Day Off,70136369,6000000,64136369
Despicable Me,543513985,69000000,474513985
Hell or High Water,37589296,12000000,25589296
Sin City,158733820,40000000,118733820
Ip Man,21888598,11715578,10173020
Indiana Jones and the Temple of Doom,333000000,28000000,305000000
The Theory of Everything,123726688,15000000,108726688
The Pursuit of Happyness,307077295,55000000,252077295
Senna,8212430,0,8212430
Scott Pilgrim vs. the World,47664559,60000000,-12335441
Magnolia,48451803,37000000,11451803
The Hateful Eight,155760117,44000000,111760117
