film,year,id
Inception,2010,27205.0
The Matrix,1999,603.0
Avengers: Infinity War,2018,299536.0
Back to the Future,1985,105.0
"The Good, the Bad and the Ugly",1966,429.0
Spider-Man: Into the Spider-Verse,2018,324857.0
The Pianist,2002,423.0
Django Unchained,2012,68718.0
Raiders of the Lost Ark,1981,85.0
Inglourious Basterds,2009,16869.0
Taxi Driver,1976,103.0
3 Idiots,2009,20453.0
Pan's Labyrinth,2006,1417.0
Room,2015,264644.0
Monty Python and the Holy Grail,1975,762.0
Once Upon a Time in the West,1968,335.0
Indiana Jones and the Last Crusade,1989,89.0
Groundhog Day,1993,137.0
The King's Speech,2010,45269.0
Her,2013,152601.0
There Will Be Blood,2007,7345.0
The Social Network,2010,37799.0
Dallas Buyers Club,2013,152532.0
The Perks of Being a Wallflower,2012,84892.0
Life of Brian,1979,583.0
Ex Machina,2015,264660.0
Silver Linings Playbook,2012,82693.0
District 9,2009,17654.0
The Irishman,2019,398978.0
Moon,2009,17431.0
Marriage Story,2019,492188.0
Drive,2011,64690.0
Train to Busan,2016,396535.0
Incredibles 2,2018,260513.0
Dangal,2016,360814.0
Klaus,2019,508965.0
Minority Report,2002,180.0
Mystic River,2003,322.0
Like Stars on Earth,2007,7508.0
Ferris Bueller's Day Off,1986,9377.0
Despicable Me,2010,20352.0
Hell or High Water,2016,338766.0
Sin City,2005,187.0
Ip Man,2008,14756.0
Indiana Jones and the Temple of Doom,1984,87.0
The Theory of Everything,2014,266856.0
The Pursuit of Happyness,2006,1402.0
Senna,2010,58496.0
Scott Pilgrim vs. the World,2010,22538.0
Magnolia,1999,334.0
The Hateful Eight,2015,273248.0
The Artist,2011,74643.0
Moonlight,2016,376867.0
Back to the Future Part II,1989,165.0
Willy Wonka & the Chocolate Factory,1971,252.0
What's Eating Gilbert Grape,1993,1587.0
The Curious Case of Benjamin Button,2008,4922.0
A Silent Voice,2016,378064.0
Snowpiercer,2013,110415.0
Hugo,2011,44826.0
Ant-Man and the Wasp,2018,363088.0
As Good as It Gets,1997,2898.0
Back to the Future Part III,1990,196.0
Searching for Sugar Man,2012,84334.0
Road to Perdition,2002,4147.0
To All the Boys I've Loved Before,2020,565426.0
Molly's Game,2017,396371.0
Blackfish,2013,158999.0
El Camino: A Breaking Bad Movie,2019,559969.0
The Invisible Guest,2016,411088.0
Song of the Sea,2014,110416.0
End of Watch,2012,77016.0
The Evil Dead,1981,764.0
About Time,2013,122906.0
Kung Fu Hustle,2004,9470.0
Blue Is the Warmest Color,2013,152584.0
Y Tu Mamá También,2001,1391.0
The Naked Gun: From the Files of Police Squad!,1988,37136.0
Mud,2013,103731.0
The Edge of Seventeen,2016,376660.0
Philadelphia,1993,9800.0
Lagaan: Once Upon a Time in India,2001,19666.0
Tucker and Dale vs. Evil,2010,46838.0
The Matrix Reloaded,2003,604.0
The Two Popes,2019,551332.0
The Last Samurai,2003,616.0
The Florida Project,2017,394117.0
13th,2016,407806.0
Bahubali: The Beginning,2015,256040.0
The Dawn Wall,2018,489471.0
Dolemite Is My Name,2019,528888.0
Tarzan,1999,37135.0
The Platform,2019,660295.0
Okja,2017,387426.0
Roma,2018,426426.0
Saving Mr. Banks,2013,140823.0
Icarus,2017,432976.0
Jiro Dreams of Sushi,2011,80767.0
Corpse Bride,2005,3933.0
Jerry Maguire,1996,9390.0
The Death of Stalin,2017,402897.0
GoldenEye,1995,710.0
The Boy in the Striped Pyjamas,2008,14574.0
Amy,2015,331781.0
Ralph Breaks the Internet,2018,404368.0
Good Time,2017,429200.0
Ip Man 2,2010,37472.0
The Little Prince,2015,309809.0
The Spectacular Now,2013,157386.0
Baahubali 2: The Conclusion,2017,
Black Mirror: Bandersnatch,2018,569547.0
PK,2014,297222.0
Extraction,2020,545609.0
The Lobster,2015,254320.0
Blue Valentine,2010,46705.0
Zindagi Na Milegi Dobara,2011,61202.0
Green Room,2015,313922.0
Kung Fu Panda 2,2011,49444.0
The Ballad of Buster Scruggs,2018,537996.0
Cloverfield,2008,7191.0
Burning,2018,467240.0
The Adventures of Tintin,2011,17578.0
Bolt,2008,13053.0
Neon Genesis Evangelion: The End of Evangelion,1997,18491.0
Chasing Amy,1997,2255.0
The Princess and the Frog,2009,10198.0
Bad Genius,2017,455714.0
The Wicker Man,1973,16307.0
A Single Man,2009,34653.0
Blow,2001,4133.0
The Squid and the Whale,2005,10707.0
My Life as a Zucchini,2016,393559.0
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,1628.0
Barfi!,2012,127501.0
Frances Ha,2013,121986.0
Tootsie,1982,9576.0
Solo: A Star Wars Story,2018,348350.0
Steve Jobs,2015,321697.0
Tremors,1990,9362.0
The Croods,2013,49519.0
Locke,2014,210479.0
Bill Burr: I'm Sorry You Feel That Way,2014,308571.0
Starred Up,2013,209276.0
Mudbound,2017,414425.0
Austin Powers: International Man of Mystery,1997,816.0
Blue Ruin,2013,188166.0
The Patriot,2000,2024.0
Babel,2006,1164.0
The Square,2013,159037.0
Gerald's Game,2017,343674.0
Miracle,2004,14292.0
Swades,2004,15774.0
Tinker Tailor Soldier Spy,2011,49517.0
The Witch,2015,310131.0
Haider,2014,280795.0
Padman,2018,447856.0
Hush,2016,376570.0
Elizabeth,1998,4518.0
Miss Americana,2020,653567.0
Christopher Robin,2018,420814.0
I Lost My Body,2019,586940.0
I Am Mother,2019,505948.0
Lupin the Third: The Castle of Cagliostro,1979,15371.0
The Autopsy of Jane Doe,2016,397243.0
Virunga,2014,263614.0
Freedom Writers,2007,1646.0
The Master,2012,68722.0
A Serious Man,2009,12573.0
The King,2019,504949.0
The Breadwinner,2017,435129.0
The Boy Who Harnessed the Wind,2019,491480.0
Article 15,2019,597089.0
The Killing of a Sacred Deer,2017,399057.0
Lawless,2012,82633.0
Kabhi Khushi Kabhie Gham,2001,10757.0
Charlie and the Chocolate Factory,2005,118.0
Freaks,2019,539892.0
Hannah Gadsby: Nanette,2018,529531.0
The Mask of Zorro,1998,9342.0
The Natural,1984,11393.0
Equilibrium,2002,7299.0
Arthur Christmas,2011,51052.0
The Rainmaker,1997,11975.0
Winter on Fire: Ukraine's Fight for Freedom,2015,355020.0
Always Be My Maybe,2019,513576.0
The Crying Game,1992,11386.0
War Horse,2011,57212.0
Shot Caller,2017,339692.0
The Invitation,2015,306947.0
A Most Violent Year,2014,241239.0
The Other Guys,2010,27581.0
Kapoor & Sons,2016,374173.0
On Body and Soul,2017,436343.0
The Fundamentals of Caring,2016,318121.0
Insidious,2010,49018.0
Bill Burr: Paper Tiger,2019,625128.0
Bad Boys,1995,9737.0
The Foreigner,2017,379149.0
The Danish Girl,2015,306819.0
The Girl with All the Gifts,2016,375366.0
Bird Box,2018,405774.0
The Ring,2002,565.0
Hostiles,2017,384680.0
Sairat,2016,383367.0
Trumbo,2015,294016.0
LA 92,2017,450875.0
20th Century Women,2016,342737.0
Kal Ho Naa Ho,2003,4254.0
Swiss Army Man,2016,347031.0
In This Corner of the World,2016,378108.0
A Ghost Story,2017,428449.0
United 93,2006,9829.0
Patriot Games,1992,9869.0
The Secret Life of Pets 2,2019,412117.0
Hitch,2005,8488.0
The Young Offenders,2016,408159.0
Enemy,2013,181886.0
Mirage,2018,529216.0
Everybody's Everything,2019,576712.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,217.0
The Guernsey Literary & Potato Peel Pie Society,2018,451480.0
I Don't Feel at Home in This World Anymore,2017,425591.0
The Endless,2018,430231.0
Julie & Julia,2009,24803.0
The Game Changers,2019,463088.0
Under the Shadow,2016,375012.0
Angel Has Fallen,2019,423204.0
Kon-Tiki,2012,70667.0
Mary Poppins Returns,2018,400650.0
Kajaki,2014,306650.0
The Fear of 13,2015,367215.0
The Night Comes for Us,2018,449992.0
Blood Father,2016,309886.0
Stree,2018,533991.0
American Factory,2019,565716.0
Code 8,2019,461130.0
Salt,2010,27576.0
The Hundred-Foot Journey,2014,228194.0
The Distinguished Citizen,2016,408537.0
Scooby-Doo on Zombie Island,1998,13151.0
Chasing Coral,2017,432615.0
The End of the Tour,2015,249688.0
The One I Love,2014,242090.0
Underworld,2003,277.0
The Death of Mr. Lazarescu,2005,31032.0
Madagascar: Escape 2 Africa,2008,10527.0
The Wolf's Call,2019,484468.0
